entry_date,exit_date,direction,entry_z,exit_z,entry_lambda,exit_lambda,entry_regime,exit_regime,position_size,pnl,return_pct,duration_days,exit_reason,mae_pct,mfe_pct
2018-06-18 00:00:00+00:00,2018-08-15 00:00:00+00:00,SHORT,4.5026587816449055,0.22626069823622857,0.097995840662274,0.05040495427762137,normal,normal,0.0,-1791.5346259129935,-0.688168740809134,58,signal,-2.8876636244231437,0.2718479088368182
2018-12-24 00:00:00+00:00,2019-01-11 00:00:00+00:00,LONG,-2.4160777848200787,-1.6143490768872717,0.40409575258053565,0.6444289392092101,elevated,crisis,0.0,-631.7895342489047,-0.7359428386897157,18,signal,-1.7611070375326325,0.0
2019-03-29 00:00:00+00:00,2019-05-10 00:00:00+00:00,SHORT,2.0354765257443383,0.4566269335985851,0.03524201718189539,0.020274871049389038,normal,normal,0.0,5540.850683178084,2.3146567215572267,42,signal,-2.9486971251714893,2.3146567215572267
2019-12-20 00:00:00+00:00,2020-01-28 00:00:00+00:00,SHORT,2.4528275621958042,-0.670637761069465,0.054393180537265745,0.020277471967862674,normal,normal,0.0,1257.3016953487613,0.529324922020513,39,signal,-1.0189969186451089,0.6659430845104457
2020-02-03 00:00:00+00:00,2020-02-20 00:00:00+00:00,LONG,-1.8935769308392196,-2.8174783185681798,0.2561912894814953,0.5527664001737175,elevated,crisis,0.0,-2191.212259779466,-2.41057536225475,17,signal,-2.5022135933657705,0.0
2020-02-21 00:00:00+00:00,2020-03-04 00:00:00+00:00,LONG,-2.774519038409111,-0.903371855317686,0.5986436913467221,0.21321608593739133,crisis,elevated,0.08000000000000002,-866.586521245758,-1.0543254681293777,12,trailing_stop,-1.0543254681293777,1.2174925711526774
2021-01-04 00:00:00+00:00,2021-01-13 00:00:00+00:00,SHORT,2.0662801575000564,0.3547545615929527,0.02136721818862174,0.0204037835855136,normal,normal,0.25,-8722.604376643407,-3.4514320411126587,9,stop_loss,-3.4514320411126587,0.0
2021-04-28 00:00:00+00:00,2021-05-14 00:00:00+00:00,SHORT,2.4718310959605985,-2.065177211227464,0.1784688049644189,0.5983223324264176,elevated,crisis,0.0,-611.7784945375926,-0.429464420743341,16,signal,-1.7377912454032793,0.0577302417298457
2021-05-17 00:00:00+00:00,2021-06-03 00:00:00+00:00,LONG,-1.914492761512821,-0.5503492759476774,0.46246626136638663,0.5564428803017185,elevated,crisis,0.0,276.57646558168886,0.3779500559377909,17,signal,-0.24129416558570402,0.5327556811682099
2021-11-04 00:00:00+00:00,2021-11-23 00:00:00+00:00,SHORT,1.997150356700166,1.4038854357028439,0.2079937934670268,0.5478533237998892,elevated,crisis,0.0,2432.816580631392,2.414778116202025,19,signal,-0.43622430367905773,2.4317309206798576
2021-11-26 00:00:00+00:00,2022-01-04 00:00:00+00:00,SHORT,2.273964658274214,0.20508375815126487,0.5361681721546085,0.02050917075266926,crisis,normal,0.0,-934.9350156206533,-1.1432285678127794,39,signal,-1.1432285678127794,1.298002400472676
2023-01-20 00:00:00+00:00,2023-02-24 00:00:00+00:00,LONG,-2.2495790991014943,1.7183884994299672,0.02097424256689575,0.020274331930074708,normal,normal,0.0,9685.580447981529,3.9286335659718086,35,signal,-0.4702052995306795,5.1017420189694604
2023-07-26 00:00:00+00:00,2023-08-29 00:00:00+00:00,SHORT,2.574457229413167,-1.061345298716996,0.5775270925492741,0.03106970358380281,crisis,normal,0.0,-2138.849705103186,-2.6353355383738317,34,signal,-2.6353355383738317,0.0
2023-09-08 00:00:00+00:00,2023-09-26 00:00:00+00:00,LONG,-1.7013316942572796,-1.5796792385289873,0.4028035777798007,0.548925131218978,elevated,crisis,0.0,31.083684665718767,0.06899292538688903,18,signal,-0.1432606673199766,1.1604337908211697
2023-10-16 00:00:00+00:00,2023-11-17 00:00:00+00:00,LONG,-2.3648755213952013,1.7025235310971754,0.1152601752442828,0.020322618011632508,normal,normal,0.0,9918.442207117516,3.991967839582087,32,signal,-0.033438400963904436,4.454149329754972
2024-03-26 00:00:00+00:00,2024-04-12 00:00:00+00:00,LONG,-1.6664673668268581,-1.799415140346868,0.30329584079068145,0.6531397689312605,elevated,crisis,0.0,1382.2451273707427,1.7410109395892825,17,signal,0.0,1.7410109395892825
2024-04-15 00:00:00+00:00,2024-04-26 00:00:00+00:00,LONG,-1.6783292305822781,-0.689953639119805,0.48939829433652127,0.2037115780309607,elevated,elevated,0.08000000000000002,-2790.2596550250432,-3.416168277982621,11,stop_loss,-3.416168277982621,0.18076726515545538
2025-12-01 00:00:00+00:00,2026-01-06 00:00:00+00:00,SHORT,1.818940984290843,-0.7949743907869588,0.42841148905566945,0.18394853629878774,elevated,elevated,0.0,-406.96504529508246,-0.47306463413053146,36,signal,-2.2187053992245525,0.07767276722870324
